Date,Ambulance Trust,Count of Handovers Over 15 Minutes,Handover Compliance,% of Handovers Over 15 Minutes,Count of Handovers Over 30 Minutes,% of Handovers Over 30 Minutes,Count of Handovers Over 60 Minutes,% of Handovers Over 60 Minutes,Count of Handovers Over 90 Minutes,% of Handovers Over 90 Minutes,Hours lost for Handovers over 15 minutes,Hours lost for Handovers over 30 minutes,Hours lost for Handovers over 60 minutes,Longest Handover (mm.m),Mean Handover Time (mm.m),90th Centile Handover Time (mm.m),Total Handover Time (hh.h),Average Time Lost for Handovers over 15 minutes per Handover (hh.h)
12-Jul-22,EEAST,652,74.12%,86.24%,410,54.23%,261,34.52%,186,24.60%,748.71,617.75,457.48,577.4,73.97,195.34,932.06,0.99
11-Jul-22,EEAST,679,73.60%,84.56%,405,50.44%,267,33.25%,207,25.78%,751.21,621.32,461.61,506.12,70.5,180.7,943.47,0.94
10-Jul-22,EEAST,752,83.55%,79.58%,370,39.15%,185,19.58%,113,11.96%,463.76,329.85,201.95,482.62,43.71,101.4,688.5,0.49
09-Jul-22,EEAST,765,83.08%,81.99%,378,40.51%,187,20.04%,135,14.47%,516.45,381.5,253.91,493.88,47.57,109.28,739.67,0.55
08-Jul-22,EEAST,773,77.48%,82.32%,444,47.28%,269,28.65%,182,19.38%,605.5,460.15,291.49,391.08,52.95,119.88,828.68,0.64
07-Jul-22,EEAST,747,79.63%,82.36%,402,44.32%,231,25.47%,157,17.31%,566.9,425.65,276.88,495.78,51.9,125.92,784.56,0.63
06-Jul-22,EEAST,698,75.92%,80.79%,373,43.17%,196,22.69%,136,15.74%,535.04,405.85,272.8,455.07,51.41,115.36,740.29,0.62
05-Jul-22,EEAST,698,79.62%,80.14%,388,44.55%,243,27.90%,177,20.32%,674.59,545.96,393.74,492.17,60.77,139.61,882.11,0.77
04-Jul-22,EEAST,703,79.59%,79.08%,352,39.60%,212,23.85%,165,18.56%,646.7,522.42,390.17,468.72,57.93,122.55,858.4,0.73
03-Jul-22,EEAST,762,84.58%,79.38%,298,31.04%,142,14.79%,88,9.17%,449.82,325.62,225.64,485.45,42.37,101.29,677.93,0.47
